datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2024-04-10,1392822.455172508,0.009801359068170482,9122013.221228844,0.01052093630995395,9122.01322122884,1.0520936309952759e-05,841109.3954113973,551713.0597611108,0.02147746
2024-04-11,1384038.8840471164,-0.006302422229397879,9127429.143536735,0.00388845131536954,9127.429143536732,3.888451315369258e-06,826915.3179004211,557123.5661466953,-0.0088467
2024-04-12,1335470.8357358996,-0.035088999911760024,9130937.174551787,0.0025346332790835853,9130.937174551782,2.534633279082271e-06,781858.8086352708,553612.0271006288,-0.041277826
2024-04-13,1334687.7914907443,-8.885429104207431e-07,9912794.796563914,0.5854546584548148,9912.79479656391,0.0005854546584548159,0.0,1334687.7914907443,-0.04755926
2024-04-14,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,0.02717781
2024-04-15,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,-0.034142435
2024-04-16,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,0.005887747
2024-04-17,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,-0.039440155
2024-04-18,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,0.03578329
2024-04-19,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,0.005481839
2024-04-20,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,0.017590284
2024-04-21,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,8.583069e-06
2024-04-22,1334687.7914907443,0.0,9912794.796563914,0.0,9912.79479656391,0.0,0.0,1334687.7914907443,0.028921127
2024-04-23,1331858.554374084,-0.0018197744781198479,10313201.134011138,0.30000000000000066,10313.201134011133,0.00029999999999999943,397977.5066680103,933881.0477060738,-0.006065905
2024-04-24,1331460.576867416,-4.7801344155517023e-17,10711178.640679149,0.2988136430561449,10711.178640679143,0.00029881364305614467,0.0,1331460.576867416,-0.03198737
2024-04-25,1331460.576867416,0.0,10711178.640679149,0.0,10711.178640679143,0.0,0.0,1331460.576867416,0.0032470226
