event_time,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-03-12,1134514.788544463,-0.0013406334327230982,20549264.037322998,0.0,20549.264037323,0.0,190819.9951171875,943694.7934272755,0.009008765
2025-03-13,1130153.7900093067,-0.003843932735994774,20549264.037322998,0.0,20549.264037323,0.0,186458.99658203125,943694.7934272755,-0.030644536
2025-03-14,1134859.7958686817,0.004164040240343083,20549264.037322998,0.0,20549.264037323,0.0,191165.00244140625,943694.7934272755,0.035349727
2025-03-15,1137411.7978218067,0.002248737652364857,20549264.037322998,0.0,20549.264037323,0.0,193717.00439453125,943694.7934272755,0.004229784
2025-03-16,1132394.7934272755,-0.0044108953363584166,20549264.037322998,0.0,20549.264037323,0.0,188700.0,943694.7934272755,-0.020914614
2025-03-17,1136325.7992866505,0.0034714093372661347,20549264.037322998,0.0,20549.264037323,0.0,192631.005859375,943694.7934272755,0.01738429
2025-03-18,1136848.7973335255,0.0004602536061429932,20549264.037322998,0.0,20549.264037323,0.0,193154.00390625,943694.7934272755,-0.015414834
2025-03-19,1149300.7992866505,0.010953085390362485,20549264.037322998,0.0,20549.264037323,0.0,205606.005859375,943694.7934272755,0.04994142
2025-03-20,1149094.193305205,-8.709439367099325e-07,20754869.04220581,0.17889572948215793,20754.86904220581,0.00017889572948215666,0.0,1149094.193305205,-0.03019768
2025-03-21,1149094.193305205,0.0,20754869.04220581,0.0,20754.86904220581,0.0,0.0,1149094.193305205,-0.0015981197
2025-03-22,1149094.193305205,0.0,20754869.04220581,0.0,20754.86904220581,0.0,0.0,1149094.193305205,-0.0029515624
2025-03-23,1149094.193305205,0.0,20754869.04220581,0.0,20754.86904220581,0.0,0.0,1149094.193305205,0.026740074
2025-03-24,1169162.039298247,0.017753088586779108,21086994.0574646,0.2890320194756872,21086.9940574646,0.00028903201947568717,352524.98626708984,816637.0530311572,0.016445398
2025-03-25,1174023.9266273486,0.004336445380369913,21295114.052581787,0.17800782793299122,21295.114052581786,0.00017800782793299123,565714.9887084961,608308.9379188525,-0.0012033582
2025-03-26,1152610.930716704,-0.018238977439035884,21295114.052581787,0.0,21295.114052581786,0.0,544301.9927978516,608308.9379188525,-0.0055347085
2025-03-27,1154749.9230262744,0.0018557799970196946,21295114.052581787,0.0,21295.114052581786,0.0,546440.9851074219,608308.9379188525,0.0037146807
2025-03-28,1121723.954093169,-0.028600104901114608,21295114.052581787,0.0,21295.114052581786,0.0,513415.0161743164,608308.9379188525,-0.032185733
2025-03-29,1121235.5003578174,2.227488055209029e-05,21808554.055023193,0.4577240243179835,21808.554055023193,0.00045772402431798346,0.0,1121235.5003578174,-0.021034718
2025-03-30,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,-0.0031282902
2025-03-31,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,0.0019421577
2025-04-01,1121235.5003578174,0.0,21808554.055023193,0.0,21808.554055023193,0.0,0.0,1121235.5003578174,0.03159702
